Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
berylmys berdmorei	13			hasEctoparasite	hasEndoparasite	hostOf				parasitizedBy				Chao Phraya freshwater swamp forests							Not Monogamous													No Paternal Care	solitary																				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Oscines | Passeroidea | Thraupidae | Pseudosaltator			depend		multicellular		0.016292	37.546	13	berylmys berdmorei	berylmys berdmorei	595394								terrestrial	
beryx decadactylus	13										symbiontOf													eats																															Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Actinopterygii | Neopterygii | Teleostei | Euteleostei | Neoteleostei | Acanthopterygii | Beryciformes | Berycoidei | Berycidae | Beryx			depend		multicellular		0.016535	47.6686	13	beryx decadactylus	beryx decadactylus	107241								marine benthic	
beryx mollis	13																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Actinopterygii | Neopterygii | Teleostei | Otomorpha | Ostariophysi | Cypriniformes | Cobitoidei | Cobitidae | Cobitis					multicellular		0.016537	46.9372	13	beryx mollis	beryx mollis	182780								marine	
beryx splendens	13				hasEndoparasite	hostOf		mutualisticWith		parasitizedBy			23											eats										iteroparous	Social Group Living													carnivore							Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Actinopterygii | Neopterygii | Teleostei | Euteleostei | Neoteleostei | Acanthopterygii | Beryciformes | Berycoidei | Berycidae | Beryx			depend		multicellular		0.016529	47.2987	13	beryx splendens	beryx splendens	88663								marine pelagic	
beta macrocarpa	31							mutualisticWith																																															Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Caryophyllales | Amaranthaceae			depend		multicellular		0.38522	43.8928	156	beta macrocarpa	beta macrocarpa	343494								hedge	
beta vulgaris subsp. maritima	31																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Caryophyllales | Amaranthaceae					multicellular		0.36495	43.9074	150	beta vulgaris subsp. maritima	beta vulgaris subsp. maritima	350892								hedge	
beta vulgaris subsp. vulgaris	30																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Caryophyllales | Amaranthaceae					multicellular	MSH1	0.368801	43.8578	140	beta vulgaris subsp. vulgaris	beta vulgaris subsp. vulgaris	3555								hedge	
betaphycus gelatinus	24																																																											multicellular		0.025275	29.7013	24	betaphycus gelatinus	betaphycus gelatinus	1191690									
betta splendens	13						isEatenBy						2											eats																	8														Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Gastropoda | Nudibranchia | Dendronotoidea | Dendronotidae | Dendronotus					multicellular		0.01698	38.0919	13	betta splendens	betta splendens	158456								river	
bhagadatta austenia	13																																																											multicellular		0.015615	20.8133	13	bhagadatta austenia	bhagadatta austenia	1417366									
bhavania australis	13																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Actinopterygii | Neopterygii | Teleostei | Otomorpha | Ostariophysi | Cypriniformes | Cobitoidei | Balitoridae | Bhavania					multicellular		0.016562	43.2315	13	bhavania australis	bhavania australis	1396451								benthic	
bhutanitis mansfieldi	13																							eats																															Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Amphiesmenoptera | Lepidoptera | Glossata | Coelolepida | Myoglossata | Neolepidoptera | Heteroneura | Eulepidoptera | Ditrysia | Apoditrysia | Obtectomera | Papilionoidea | Papilionidae | Bhutanitis					multicellular		0.014994	18.454	13	bhutanitis mansfieldi	bhutanitis mansfieldi	93376								terrestrial	
bicellonychia lividipennis	13																																																											multicellular		0.016466	24.2743	13	bicellonychia lividipennis	bicellonychia lividipennis	1176499									
bidyanus bidyanus	13						isEatenBy	mutualisticWith			symbiontOf													eats																															Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Gastropoda | Nudibranchia | Fionoidea | Trinchesiidae | Diaphoreolis			depend		multicellular		0.016869	47.4539	13	bidyanus bidyanus	bidyanus bidyanus	443752								tropical	
bilobella aurantiaca	13																																																											multicellular		0.016312	27.2867	13	bilobella aurantiaca	bilobella aurantiaca	106915									
biomphalaria choanomphala	13							mutualisticWith			symbiontOf														actively mobile																														Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Gastropoda | unclassified Gastropoda | Lymnaeoidea | Planorbidae | Biomphalaria			depend		multicellular		0.013672	23.4421	13	biomphalaria choanomphala	biomphalaria choanomphala	158987								freshwater	
