Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
populus tremula	33	73				hostOf		mutualisticWith		parasitizedBy	symbiontOf					sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Oscines | Passeroidea | Thraupidae | Diglossa			depend	C3 photosynthetic plant	multicellular		0.783442	44.7458	33	populus tremula	populus tremula	113636								headwater	
populus tremula x populus alba	32	73																tree																																	woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Malpighiales | Salicaceae							0.783513	44.7457	32	populus tremula x populus alba	populus tremula x populus alba	80863								temperate	
prunus avium	25	74				hostOf	isEatenBy			parasitizedBy						sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Suboscines | Tyrannidae | Ochthoeca			depend	C3 photosynthetic plant	multicellular	MSH1	0.389709	45.6179	25	prunus avium	prunus avium	42229								grassland	
psilotum nudum	25													Restinga													epiphyte											epiphyte							C3 photosynthetic plant										Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Suboscines | Furnariidae | Margarornis				C3 photosynthetic plant	multicellular		0.36407	51.3561	26	psilotum nudum	psilotum nudum	3240								temperate	
rhazya stricta	38	76														sessile		woody									terrestrial plant		high tolerance									terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Gentianales | Rubiaceae | Rubia	tolerance			C3 photosynthetic plant	multicellular		0.548608	43.6771	46	rhazya stricta	rhazya stricta	396313								terrestrial	
ricinus communis	37	75				hostOf										sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Brassicales | Brassicaceae | Physaria			depend	C3 photosynthetic plant	multicellular	MSH1	0	0	0	ricinus communis	ricinus communis	3988								desert	
saccharum officinarum	19	75				hostOf		mutualisticWith		parasitizedBy	symbiontOf						medium (normal)	graminoid	yes								terrestrial plant	medium (normal)	high tolerance		no	high tolerance						terrestrial plant					broad		C4 photosynthetic plant		high tolerance				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Cyperaceae | Carex	tolerance		depend	C4 photosynthetic plant	multicellular		0.300784	43.9455	20	saccharum officinarum	saccharum officinarum	4547								lake	
salix purpurea	32	73						mutualisticWith								sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Rosales | Rhamnaceae | Rhamnus			depend	C3 photosynthetic plant	multicellular		0.59897	44.9376	32	salix purpurea	salix purpurea	77065								terrestrial	
salix suchowensis	32	73																																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Malpighiales | Salicaceae					multicellular		0.644437	44.9836	33	salix suchowensis	salix suchowensis	1278906								river	
salvia miltiorrhiza	35	76																																											C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Lamiaceae | Salvia				C3 photosynthetic plant	multicellular		0.499236	44.3876	138	salvia miltiorrhiza	salvia miltiorrhiza	226208								river	
